id,code_type,code_name,code_mention,target_concept,event_id,publisher_id,paragraph,sentence,start,end,orientation
0_R_0000,COUNTRY,PRK,Kim Jong Un,,0,R,0,0,6,8,R
0_R_0001,ACTOR,USA\Mike Pompeo,Mike Pompeo,,0,R,0,0,2,3,R
0_R_0002,COUNTRY,USA,CIA director,,0,R,1,1,5,6,R
0_R_0003,ACTOR,PRK\Jong Un,North Korean leader,,0,R,1,1,10,12,R
0_R_0004,COUNTRY,USA,chief White House correspondent,,0,R,1,1,17,20,R
0_R_0005,ACTION,Trip to PRK,met with the North Korean leader,,0,R,1,1,7,12,R
0_R_0006,ACTOR,USA\Mike Pompeo,CIA Director,,0,R,2,2,0,1,R
0_R_0007,ACTOR,PRK\Jong Un,Kim,,0,R,2,2,9,9,R
0_R_0008,ACTOR,PRK\Jong Un,Kim,,0,R,2,2,26,26,R
0_R_0009,ACTOR,PRK\Jong Un,Kim Jong Un,,0,R,2,2,9,11,R
0_R_0010,ACTOR,USA\Mike Pompeo,Mike Pompeo,,0,R,2,2,2,3,R
0_R_0011,ACTOR,PRK\Jong Un,North Korean dictator,,0,R,2,2,6,8,R
0_R_0012,ACTOR,USA\Trump,President Trump,,0,R,2,2,28,29,R
0_R_0013,EVENT,PRK USA Summit,a summit between Kim and President Trump,,0,R,2,2,23,29,R
0_R_0014,ACTION,Trip to PRK,an effort to lay the groundwork for a summit,,0,R,2,2,16,24,R
0_R_0015,PROPERTY,Power,lay the groundwork,Mike Pompeo,0,R,2,2,19,21,R
0_R_0016,ACTION,Trip to PRK,met with North Korean dictator,,0,R,2,2,4,8,R
0_R_0017,COUNTRY,PRK,North Korea,,0,R,3,3,25,26,R
0_R_0018,ACTOR,USA\Mike Pompeo,Pompeo,,0,R,3,3,0,0,R
0_R_0019,COUNTRY,PRK,Pyongyang,,0,R,3,3,52,52,R
0_R_0020,ACTOR,USA\Trump,Trump,,0,R,3,3,18,18,R
0_R_0021,COUNTRY,USA,U.S.,,0,R,3,3,23,23,R
0_R_0022,EVENT,PRK USA Summit,an extraordinary meeting,,0,R,3,3,43,45,R
0_R_0023,PROPERTY,Importance,extremely high levels,Trip to PRK,0,R,3,3,33,35,R
0_R_0024,ACTION,Trip to PRK,"holding direct talks at ""extremely high levels""",,0,R,3,3,28,36,R
0_R_0025,PROPERTY,Aggressor,months of heated rhetoric,Trump,0,R,3,3,47,50,R
0_R_0026,MISC,Denuclearization,months of heated rhetoric over Pyongyang's nuclear weapons program,,0,R,3,3,47,56,R
0_R_0027,ACTOR,USA\Trump,Trump,,0,R,4,4,12,12,R
0_R_0028,COUNTRY,USA,White House,,0,R,4,4,2,3,R
0_R_0029,ACTION,Trip to PRK,meeting,,0,R,4,4,15,15,R
0_R_0030,PROPERTY,Good quality,went well,Trip to PRK,0,R,4,4,24,25,R
0_R_0031,MISC,Denuclearization,Denuclearization,,0,R,5,8,0,0,R
0_R_0032,ACTOR,PRK\Jong Un,Kim Jong Un,,0,R,5,5,5,7,R
0_R_0033,ACTION,Trip to PRK,Meeting,,0,R,5,6,0,0,R
0_R_0034,ACTOR,USA\Mike Pompeo,Mike Pompeo,,0,R,5,5,1,2,R
0_R_0035,COUNTRY,PRK,North Korea,,0,R,5,5,9,10,R
0_R_0036,COUNTRY,PRK,North Korea,,0,R,5,8,12,13,R
0_R_0037,EVENT,PRK USA Summit,Summit,,0,R,5,7,2,2,R
0_R_0038,PROPERTY,Good quality,good relationship was formed,Trip to PRK,0,R,5,6,6,9,R
0_R_0039,PROPERTY,Importance,great thing for World,PRK USA Summit,0,R,5,8,4,7,R
0_R_0040,ACTION,Trip to PRK,met with Kim Jong Un,,0,R,5,5,3,7,R
0_R_0041,PROPERTY,Good quality,very smoothly,Trip to PRK,0,R,5,6,2,3,R
0_R_0042,MISC,Denuclearization,Denuclearization,,0,R,6,13,0,0,R
0_R_0043,ACTOR,PRK\Jong Un,Kim Jong Un,,0,R,6,10,4,6,R
0_R_0044,ACTION,Trip to PRK,Meeting,,0,R,6,11,0,0,R
0_R_0045,ACTOR,USA\Mike Pompeo,Mike Pompeo,,0,R,6,10,0,1,R
0_R_0046,COUNTRY,PRK,North Korea,,0,R,6,10,8,9,R
0_R_0047,COUNTRY,PRK,North Korea,,0,R,6,13,12,13,R
0_R_0048,EVENT,PRK USA Summit,Summit,,0,R,6,12,2,2,R
0_R_0049,PROPERTY,Good quality,good relationship was formed,Trip to PRK,0,R,6,11,6,9,R
0_R_0050,PROPERTY,Importance,great thing for World,PRK USA Summit,0,R,6,13,4,7,R
0_R_0051,ACTION,Trip to PRK,met with Kim Jong Un,,0,R,6,10,2,6,R
0_R_0052,PROPERTY,Good quality,very smoothly,Trip to PRK,0,R,6,11,2,3,R
0_R_0053,ACTOR,JPN\Abe,Japanese Prime Minister,,0,R,7,14,4,6,R
0_R_0054,ACTOR,JPN\Abe,Shinzo Abe,,0,R,7,14,7,8,R
0_R_0055,ACTOR,USA\Trump,Trump,,0,R,7,14,0,0,R
0_R_0056,EVENT,PRK USA Summit,potential summit,,0,R,7,14,20,21,R
0_R_0057,ACTOR,USA\Trump,president,,0,R,7,15,1,1,R
0_R_0062,ACTOR,USA\Trump,Trump,,0,R,9,16,19,19,R
0_R_0063,EVENT,PRK USA Summit,a great chance to solve a world problem,,0,R,9,18,6,13,R
0_R_0064,EVENT,PRK USA Summit,a very good meeting,,0,R,9,16,5,8,R
0_R_0065,PROPERTY,Other,have a very good meeting or we won't,PRK USA Summit,0,R,9,16,4,12,R
0_R_0066,EVENT,PRK USA Summit,won't even have a meeting at all,,0,R,9,17,4,11,R
0_R_0067,EVENT,PRK USA Summit,won't have a good meeting,,0,R,9,16,11,16,R
0_R_0068,PROPERTY,Importance,world problem,Denuclearization,0,R,9,18,12,13,R
0_R_0069,ACTOR,PRK\Jong Un,Kim,,0,R,10,19,13,13,R
0_R_0070,ACTOR,USA\Trump,president,,0,R,10,19,1,1,R
0_R_0071,ACTOR,PRK\Jong Un,Kim,,0,R,11,20,0,0,R
